time,raw_acc,filtered_acc,filtered_velocity,displacement
24.305,-0.2022132,-0.2969294184879441,-0.021346680723247982,0.01774382797203773
24.3063,-0.2578478,-0.2884132695192623,-0.021777644880040442,0.01771579716039558
24.3075,-0.28257418,-0.2754230767699235,-0.022166555499777064,0.01768943064016767
24.3087,-0.2578478,-0.25773743207654465,-0.02253717838060215,0.01766260839983943
24.31,-0.17748682000000002,-0.23557710853029,-0.02290867753277856,0.0176330685934958
24.3113,-0.08476333600000001,-0.20958018576999768,-0.02324899296236705,0.017603066107673943
24.3125,0.020323436000000004,-0.18066807081103364,-0.02353422395489764,0.017574996177523564
24.3137,0.075957644,-0.14985519966581867,-0.02378373916936636,0.017546605399648987
24.315,0.045049718,-0.1180883628178088,-0.024009223314610174,0.01751553997403439
24.3163,0.01414189,-0.08620611021513157,-0.024193455493538372,0.01748420823280917
24.3175,0.057412908000000006,-0.05502502994350046,-0.024329755255834234,0.017455094306359525
24.3188,0.16249968,-0.025433700677274074,-0.024433735181133186,0.017423398037575484
24.32,0.28613158,0.0016381663429814453,-0.024499815290310954,0.0173940379072926
24.3212,0.36030974000000004,0.025391477990687167,-0.024535521696992732,0.0173646167051002
24.3225,0.36649158000000004,0.04536996036431962,-0.024541572727108225,0.01733271659372452
24.3238,0.32322066000000005,0.06158763815391419,-0.02452421839247847,0.017300823829496863
24.325,0.2057706,0.07449884208844965,-0.024494857116234097,0.01727141238419162
24.3263,0.13777330000000002,0.08480953470479874,-0.024443720159384764,0.017239602308962453
24.3275,0.1254106,0.09320887117708007,-0.02438944584929613,0.017210302409357225
24.3287,0.15631784,0.10015139940274398,-0.024326090035510256,0.01718107308782632
24.33,0.24286066000000003,0.10578025311170214,-0.024245018795345866,0.017149501867086338
24.3313,0.2737679,0.1099924572081073,-0.024157675223840266,0.017118040115973857
24.3325,0.28613158,0.11257181071921618,-0.024077170080883226,0.017089099208791005
24.3338,0.30467612,0.11329971230141128,-0.023983512108220695,0.017057859765368076
24.335,0.33558434,0.11202381494870067,-0.023901601981117536,0.017029128696914454
24.3362,0.36649158000000004,0.10872389901059892,-0.023822563186920175,0.017000494197813614
24.3375,0.29849428,0.10358018934385649,-0.023738101582125953,0.016969579765713807
24.3388,0.19340790000000002,0.09697372851441788,-0.023661404180678972,0.016938770086967973
24.34,0.15013698,0.08936123712021138,-0.023603392813593492,0.01691041120877139
24.3413,0.23667882,0.08110714716799941,-0.023546505318387378,0.01687976377498559
24.3425,0.27994974,0.07243658323773655,-0.023508423752704944,0.016851530817542915
24.3437,0.27994974,0.06354218028666245,-0.02348100926136805,0.016823337157734538
24.345,0.22431514000000002,0.05471045218697376,-0.023458446288034045,0.016792826511627414
24.3463,0.2057706,0.04635290161470948,-0.02344718519415649,0.016762337851163975
24.3475,0.2057706,0.038961541325377075,-0.023450555840673022,0.01673419920654306
24.3487,0.19958876000000003,0.03306765205556522,-0.02346202724152396,0.016706051656693723
24.35,0.19958876000000003,0.029233830750767686,-0.02347635017813501,0.016675541711370933
24.3513,0.18722606,0.028058268380482893,-0.02349405957719263,0.01664501094503004
24.3525,0.13777330000000002,0.030161589662696803,-0.023514207668964653,0.016616805984682327
24.3538,0.1254106,0.03613256650771107,-0.02352632759775035,0.016586229636758952
24.355,0.08832083400000001,0.046435693136041345,-0.023532129277098673,0.016557994562634026
24.3562,0.1254106,0.061314091683229405,-0.023522953927866068,0.01652976151271103
24.3575,0.17486336000000002,0.08073253031477406,-0.023486230413984052,0.016499205542888813
24.3588,0.23667882,0.10439383956416287,-0.023421637715518268,0.01646871542860471
24.36,0.28613158,0.1318166832301425,-0.02333578387866401,0.01644066097564818
24.3613,0.26758606,0.16241606550632198,-0.023200538487551815,0.016410412366110128
24.3625,0.2614052,0.19551882750263244,-0.023041917250482744,0.01638266689266729
24.3637,0.29231244000000006,0.23029896595639565,-0.02284270046128828,0.01635513612204021
24.365,0.37885526,0.26570412067853505,-0.022576706915526566,0.01632561350724535
24.3663,0.4530334200000001,0.3004584117422232,-0.02226524468974663,0.016296466238701908
24.3675,0.57048348,0.3331594792286108,-0.021941752721825854,0.016269942040254948
24.3688,0.7188417600000001,0.3624541730767534,-0.021546418348033003,0.016241674729059526
24.37,0.7126599200000001,0.3872666991688394,-0.021153536446161792,0.016216054756182992
24.3712,0.6013917,0.4069630408434275,-0.02073408573317955,0.01619092218287537
24.3725,0.5333944,0.4213055958688863,-0.02025293514872253,0.0161642806193022
24.3738,0.57666532,0.43024011391549655,-0.01975679175452916,0.016138274296815074
24.375,0.6322999200000001,0.4337270482015101,-0.019295910452122637,0.01611484267549107
24.3762,0.6879335400000001,0.43174389111607236,-0.018834264951581588,0.016091964570248835
